Title,Categories,Servings,Ingredients,Generated Recipe - Baseline 1,Generated Recipe - Baseline 2,Generated Recipe - Extended 1,Generated Recipe - Extended 2
raspberry streusel muffins,"breads	fruits	muffins",4 servings,"1 1/2 c  whole wheat flour	1/4 c  sugar	1/4 c  brown sugar; packed	1/4 ts salt	1 ts cinnamon	1 ea egg; large, lightly beaten	1/2 c  margarine	1/2 c  skim milk	1 1/4 c  raspberries; fresh or frozen	1 ts lemon zest; grated	1/2 c  pecans; chopped	1/2 c  brown sugar; packed	1/4 c  whole wheat flour	1 ts cinnamon	1 ts lemon zest	2 tb margarine",,,,
rasputins codfish soup,"russian	soups",4 servings,"2 sm whole codfish or odfish fillets	1 c  milk	1 c  heavy whipping cream	salt	pepper",,,,
rattlesnake club barbeque sauce,"sauces	rubs",1 servings,"1 1/2 c  ketchup	1/2 c  prepared chili sauce	1/4 c  prepared steak sauce	3 tb dry mustard	2 tb prepared horseradish	1 tb molasses	1 tb red wine vinegar	1 tb jalapeno pepper -- minced	1 tb garlic juice	1 tb tabasco sauce",,,,
ray bauers swedish rye bread limpa,breads,1 servings,"1 ts fennel seeds	1 ts cumin seeds	1 ts caraway seeds	1/4 c  cracked wheat	2 1/4 tb margarine or butter	2 1/4 tb molasses or barley malt	1 tb grated fresh orange peel	(zest)	1/4 ts baking soda	1 1/2 c  whole wheat or rye flour	(your choice will affect	the taste - i prefer wheat)	1 1/2 c  high gluten bread flour	2 ts dry yeast	2 ts gluten (important!)	3 tb buttermilk powder",,,,
byzantine dolmathes stuffed grapeleaves,"greek	appetizers",60 servings,"karen mintzias	1    jar grapeleaves (or fresh)	2 tb oil	1 lb ground beef or lamb	2    onions; chopped	1    garlic clove; pressed	2 c  water	1/2 c  tomato sauce	1 c  rice	2 tb chopped mint	2 tb chopped parsley	1/2 ts salt	pepper to taste	1/8 ts cinnamon	1/2 c  currants	1/4 c  port wine (optional)	1/4 c  pine nuts or walnuts	2 c  water	1    lemon (juice only)	3    eggs	2    lemons (stained juice only)	1 c  hot broth",,,,
c cubed casserole corn cheese  chilis,"main dish	vegetarian",1 servings,"1    22 oz bag frozen corn	1 lb sharp cheddar cheese	1 cn (4 oz.) chopped green chilis	6    cloves garlic",,,,
cabbage chowder,soups,8 servings,"4 c  cabbage, shredded	2 c  carrots, sliced	3 c  potatoes, diced	1 tb salt	1/2 ts pepper	1/2 ts sugar	2 c  water	2 tb butter	4 c  milk",,,,
caeser salad,"salads	dressings",1 servings,"1    med romaine	1/4 c  parmesan cheese	pepper; to taste	1 c  croutons	1 c  garlic; crushed	6    anchovies	1/4 ts mustard, orcestershire	2 tb lemon juice	1/3 c  olive oil.	1    egg",,,,
cafe au vin,beverages,2 servings,"1 c  cold strong french roast coffee	2 tb granulated sugar	ds cinnamon	2 oz tawny port	1/2 ts grated orange peel",,,,
cajun spiced chicken,"cajun	poultry",8 servings,"1 c  vegetable juice cocktail	2 tb red wine vinegar	2 ts hot sauce	1/2 ts oregano	1 cl garlic	4    skinned drumsticks	(1 /2 lb.)	2 tb chopped celery	2 tb diced green bell pepper	2 tb chopped onion	1 tb cornstarch	4 c  hot, cooked regular rice",,,,
california charoset,desserts,1 servings,"1 lg avocado -- peeled and diced	juice of 1/2 lemon	1/2 c  almonds -- sliced	1/3 c  raisins	4    seedless dates	2    figs -- or prunes	1    whole oranges -- peel and ections	2 tb apple juice	2 tb matzah meal",,,,
campers cookies,"cookies	tex-mex",6 servings,"2 c  flour	1 ts baking soda	1/2 ts salt	1/2 ts baking powder	1 c  margarine	1 c  white sugar	1 c  brown sugar	2    eggs	1 ts vanilla	2 c  oats	6 oz semi-sweet chocolate chips	1 c  nuts",,,,
campfire pork  beans,"beans	main dish	pork",12 servings,"8    bacon slices,cut 1 1/2""	1/2 c  chopped onion	1/2 c  chopped green bell pepper	53 oz can pork and beans	1/4 c  molasses	1/4 ts tabasco sauce",,,,
cantonese style grilled leg of lamb,other meat,8 servings,"3 lb leg of lamb, trimmed of all	1/2 c  hoisin sauce	2 tb dijon mustard	2 tb ketchup	2 tb honey	1 tb soy sauce	1 ts chinese chili paste	1 ts black pepper; freshly ground	2    cl garlic; minced	1 tb ginger root; minced",,,,
spiced potato chips,vegetables,4 servings,"stephen ceideburg	2 lb russet potatoes 	1 qt ice water	1 tb salt	1/4 ts cayenne	3/4 ts ground cumin seed	vegetable oil",,,,
spicy blackeyed peas,"vegetables	august",1 servings,"x  oil	1 c  chopped onion	1 lg clove garlic, chopped	1    tspcumin	1 ts dry mustard	1/2 ts chili powder (i use more)	1    16 oz. can blackeyed peas	(drained)	1    16 oz. can whole peeled	tomatoes (undrained)	x  few drops tabasco	1 ts white vinegar	x  salt, pepper",,,,
spicy cabbage rolls,meats,1 recipe,"1 lg cabbage head	2 lb pork, ground; uncooked	2 c  barley; cooked	2 cl garlic; minced	1 1/2 c  onion; chopped	2 tb sauce, soy	2 tb ketchup	1 tb sugar, brown	2 ts ginger, ground; to 3 ts.	1/2 ts ; salt	1/4 ts ; pepper	15 oz tomato sauce; (1 can)	1/2 c  sauce, chili	1/4 c  sugar, brown; packed	1 ts sauce, soy	1/8 ts pepper, cayenne",,,,
spicy rainbow slaw,"digest	nov.",6 servings,"4 c  thinly sliced green cabbage	1 pt cherry tomatoes, quartered	1    green pepper, thinly sliced	1 sm red onion, thinly sliced	2 lg carrots, thinly julienned	2 tb salt	1 c  cider vinegar	1/3 c  apple juice concentrate	1 ts celery seed	1/2 ts turmeric	1/4 ts allspice	1/4 ts cinnamon	1/4 ts ginger	1/4 ts cloves	1/4 ts cayenne",,,,
sour cream spritz,cookies,4 servings,"1 c  butter	3/4 c  sugar	1    egg yolk	1 ts vanilla	1/3 c  sour cream	2 3/4 c  flour, sifted	1 ts cinnamon	1/2 ts salt	1/4 ts baking soda",,,,
sourdough biscuits,breads,4 servings,"1/2 c  sourdough starter	1 c  milk	2 1/2 c  unsifted flour	3/4 ts salt	1 tb sugar	1 ts double acting baking powder	1/2 ts soda	1 x  salad oil, butter or bacon g",,,,
sourdough chiffon cake,"cakes	sourdough",12 servings,"1 1/3 c  all-purpose flour	3/4 c  sugar	1 1/2 ts baking powder, double-acting	1/2 ts salt	1/4 c  vegetable oil	1/4 c  water, cold	4    egg yolks	1/2 c  sourdough starter	1/2 ts vanilla	1 tb fresh lemon juice	1/4 ts cream of tartar	4    egg whites",,,,
sourdough rye,"breadmaker	breads",15 servings,"1 1/4 c  sourdough starter	1/2 c  water	4 1/2 ts melted butter	1/2 c  barley flour	1 3/4 c  bread flour w/	1 tb gluten in bottom of cup	3/4 c  med rye flour	1 1/2 ts salt	1 1/2 tb sugar	1 1/2 tb dry milk	3 ts caraway seeds	2 ts dried onion	2 ts dry yeast",,,,
southern fried tofu,"vegetarian	main dish",4 servings,"1 lb tofu, firm	3 tb vogue vegy base	1 1/4 c  flour, unbleached	2 tb flour, gluten	1 ts salt	4 tb spice blend	1 tb canola oil (or other oil)	1 c  ;water	2 c  sesame oil, canola oil or other oil, for frying	southern country gravy",,,,
southern praline grits,desserts,6 servings,"3 1/2 c  water	1 c  enriched hominy quick grits - (quaker or aunt jemima)	1/2 ts salt (optional)	2    eggs; beaten	1/2 c  brown sugar, firmly packed	1/4 c  chopped pecans	2 tb margarine or butter	1/2 ts cinnamon",,,,
southwest chicken salad,"salads	poultry",1 servings,"2 tb finely chopped scallions or grreen onions (with tops)	2 tb lime juice	1/4 ts salt	2 c  cut-up cooked chicken	1 c  cooked green peas	1 c  mayonnaise or salad dressing	1/4 c  finely chopped carrot	1/4 c  f nely chopped celery	1/4 c  f nely chopped fresh cilantro	3 tb orange juice	1/2 ts salt	1/2 ts ground cinnamon	1/4 ts freshlygrround pepper lettuce leaves	3    oranges, pared and sectioned	2    avocados, peeled and cut into wedges",,,,
southwest seasoning mix,"digest	herb mix",1 servings,"2 tb chili powder	2 tb paprika	1 tb ground coriander	1 tb garlic powder	1 tb salt	2 ts ground cumin	1 ts cayenne pepper	1 ts crushed red pepper flakes	1 ts black pepper	1 ts dried oregano",,,,
spaghetti al pomodoro e basilico,"italian	pasta",8 servings,"2 1/2 lb fresh ripe tomatoes	1/3 c  italian olive oil	1/2 c  chopped onion	3 cl garlic	2 tb chopped fresh basil	salt & pepper to taste	1 1/4 lb spaghetti	3/4 c  parmesan cheese	20    basil leaves",,,,
spam hashbrown bake,main dish,8 servings,"1 pk frozen hashbrown potatoes, thawed slightly (32 oz)	1/2 c  butter or margarine, melted	1 ts salt	1 ts pepper	1/2 ts garlic powder	2 c  shredded cheddar cheese	1 cn spam luncheon meat, cubed (12 oz)	1 cn cream of chicken soup (10 3/4 oz)	1 1/2 c  sour cream	1/2 c  milk	1/2 c  chopped onion	1/4 c  chi-chi's diced green chilies, drained	2 c  crushed potato chips",,,,
spam meat spread,"appetizers	cyberealm",1 servings,"1 cn spam	1 tb vinegar	1 ts prepared mustard	1/4 lb cubed velveeta cheese	2 tb melted butter	2 tb sugar	1/4 c  catsup	1 ts minced onion	potato roll buns",,,,
spanish style codfish,"mexican	seafood	spanish",4 servings,"1 lb salt cod	1/4 c  onion; chopped, 1 sm.	1 ea clove garlic; minced	1/4 c  vegetable oil	8 oz tomatoes; cut up, 1 cn	2 tb pimentos; chopped	1 ds pepper	2 tb sherry; dry	1/4 c  pimento stuffed olives;",,,,
speedy antipasto,"appetizers	dips",5 cups,"2    carrots; peel, thin slice	1/2 c  green pepper; chopped	1/3 c  sweet red pepper; chopped	1/2 c  celery; chopped	1/2 c  tiny cauliflowerets	1/2 c  pitted black olives; chopped	1/2 c  mushrooms; sliced	1/2 c  small white pickled onions	1 c  sweet pickles; chopped	1/2 c  stuffed green olives; chop	7 1/2 oz tinned tomato sauce	2/3 c  ketchup	1 tb olive oil	1 cn solid water-pack tuna, drain",,,,
perfection salad,salads vegetables,8,"2 ea envelopes unflavored gelatin	1/3 c  lemon juice	2 3/4 c  water	1/2 c  sugar	1/4 c  cider vinegar	1/2 t  salt	2 c  finely shredded cabbage	1 c  chopped celery	1/2 c  chopped green pepper	2 oz (1 jar) slice pimientos",,,,
fish chowder,soups,4,"1 c  water	1 c  diced potatoes	3 ea slices of bacon	1 ea med. onion	3/4 lb fish fillets	1/8 t  thyme	1 c  half and half	1/2 t  salt	1/4 t  pepper	2 t  fresh parsley",,,,
fruit nad nut clusters,"candies	holidays	fruits	microwave",2 servings,"12 oz semi-sweet chocolate or livered almonds; toasted	1/2 c  dates; chopped	1/2 c  red candied cherries;	8    red candied cherries;",,,,
fruit pudding lacto,"digest	jan.",1 servings,"1 lg cooking apple (would work	fine with a dessert apple)	1    250 gram packet of	ready-to-eat prunes	4 tb sugar	1 c  water	1 ts lemon juice	3/4 c  flour	2 ts baking powder	1 pn salt	1/3 c  skimmed milk, or substitute	2 tb apple sauce	1 tb sugar",,,,
fruit yogurt dressing,dressings,4 servings,"1/2 c  mayonnaise	8 oz yogurt; fruit flavored",,,,
fruited buttermilk scones,"breakfast	breads",4 servings,"2 c  whole wheat pastry flour	2 ts baking powder	1/4 ts baking soda	1/2 c  butter, small pieces	4 tb maple syrup	1    peach or nectarine, diced	1/2 ts orange peel, grated	1/2 c  buttermilk	1/4 ts nutmeg",,,,
gala apricot cheesecake,"cakes	desserts	cheesecakes",10 servings,"2 1/4 c  quick oats, uncooked	1/3 c  brown sugar, packed	3 tb unbleached all-purpose flour	1/3 c  margarine, melted	1 ea env. unflavored gelatin	1/3 c  cold water	16 oz cream cheese, softened	1/2 c  granulated sugar	2 tb brandy	1/2 c  dried apricots, fine chop	1 c  whipping cream, whipped	10 oz (1 jr) apricot preserves	1 tb brandy",,,,
galloping horses thai appetizer,"thai	appetizers",8 servings,"1 ts oil	1 lb ground pork	4    -to	8    garlic cloves - finely chopped	3    green onions, white part - chopped	3/4 c  roasted salted peanuts	1    fresh pineapple; -or-	5    -tangerines, -or-	4    -oranges	1/3 c  sugar	1/2 ts pepper	lettuce leaves	mint or coriander leaves	chopped chilis",,,,
garbanzo dip no tahini,"dips	appetizers",1 recipe,"1 c  am garbanzo flour	1 1/2 c  water	1 c  tofu	1/4 c  lemon juice	1/4 c  water	1 tb honey	3/4 ts sea salt (optional)	1/4 ts garlic powder (or more)",,,,
garden tuna salad pockets,sandwiches,4 servings,"2 cn tuna (6.5 oz ea)	3/4 c  best foods mayonnaise	1/2 c  chopped onion	1/2 c  chopped celery	sprouts	tomato	cucumber",,,,
garlic chicken breasts,poultry,1 servings,"6 tb unsalted butter; softened	2 tb snipped chives; or parsley	1/4 ts garlic powder	6 sm chicken breast halves; (abou	3 c  cornflakes; crushed	2 tb parsley; snipped	1/2 ts paprika	1/4 ts garlic powder	1/4 c  buttermilk",,,,
garlic-chive bundles,"june	issue",60 servings,"1 lb garlic chives	1/3 c  fresh ginger -- minced	2 tb light soy sauce	1 tb chinese vinegar, dark	1/4 ts szechuan hot bean paste	1/2 ts sesame oil",,,,
garlic-roasted potatoes  greens,"salads	side dishes	kooknet	cyberealm	vegetables",5 servings,"2 lb thin-skinned potatoes; scrubbed and cut into 3/4"" dice	6 lg cloves garlic; peeled and quartered lengthwise	1/3 c  extra-virgin olive oil	3 tb wine vinegar	salt	pepper	4 c  watercress sprigs; rinsed and crisped	2 tb chives; chopped",,,,
garlic/herb pretzels,"digest	august",1 servings,"2 pk yeast	4    5 c. flour	1 1/2 c  warm water	2    cloves garlic	1 ts salt	1 tb basil	1 ts sugar	1 tb parsley",,,,
german breakfast pancakes,"breads	breakfast	german",6 servings,"6    eggs	1/8 ts salt	1 c  flour; unsifted	12 c  milk	1 ts sugar	1/4 lb butter; melted  powdered sugar",,,,
german meatballs,"pork	hamburger	german	beef",6 servings.,"1 lb ground beef	1/2 lb ground pork	1/2 c  finely chopped onion	3/4 c  fine dry bread crumbs	1 tb snipped fresh parsley	1 1/2 ts salt	1/8 ts pepper	1 ts worcestershire sauce	1    egg, beaten	1/2 c  milk	3 tb vegetable oil	1 cn sauerkraut (27 oz.), ndrained	1/2 c  water, optional	1    parsley",,,,
lemon-chicken pasta,pasta,2 servings (serving size: 1-1/2 cups).,"vegetable cooking spray	1 ts olive oil	2    cloves garlic -- minced	6 oz boneless skinless chicken	breast halves --	cut into 1/4-inch-wide	strips	1/2 c  frozen green peas -- thawed	1/3 c  coarsely shredded carrot	1/2 c  low-sodium chicken broth	2 tb light process cream cheese	product	2 c  cooked farfalle -- (bow tie	pasta)	cooked without salt or fat	3 tb grated parmesan cheese	1/2 ts grated lemon rind	1/8 ts salt	1/8 ts pepper	fresh chives -- (optional)",,,,
lemony summer squash,"diabetic	side dish	vegetables",4 sweet ones,"1 lb summer squash	1 tb walnut oil;	1 cl garlic; minced	1 ts dried rosemary; crumbled	2 tb fresh lemon juice;",,,,
lettuce hamburger relish,"pickles	relishes",4 servings,"3 c  chopped lettuce	1 c  mayonnaise	1 c  mustard	salt and pepper",,,,
lick your chop pork chops,petfood,1 servings,"1    lean, boneless pork chop	3/4 c  water	2 sm slices of apple, peeled and cored",,,,
licorice-stick ice cream,"desserts	ice cream",2 quarts,"4    egg yolks	1 c  sugar	2 c  whipping cream	2 c  half and half	5 oz licorice sticks cut in 1/4	inch pieces (1 cup)	1 c  milk",,,,
lime-lite chicken,"poultry	jaw	low-cal	low-fat",4 servings,"3 tb lite soy sauce	1/4 ts sugar	1/4 ts grated fresh lime peel	2 ts lime juice	4    boneless, skinless chicken	breast halves",,,,
lime-orange marinade,marinades,1 servings,"4 ea cloves garlic,finely chopped	1 1/2 c  lime juice	1 c  orange juice	1/2 c  peanut oil	2 ts ground black pepper",,,,
linda kaysens mixed bean casserole,"meats	casseroles",6 servings,"ingredients:	1 cn (16 oz.) french style green beans, drained	1 cn (16 oz.) lima or northern beans, drained	1 cn (16 oz.) kidney beans, drained	1 cn (16 oz.) pork and beans	1 md onion, chopped	1 cn (12 oz.) spam and cubed	1/2 c  brown sugar	1 c  ketchup	1 tb mollasses	1    green pepper, diced	1 tb worcestershire sauce	4 tb vinegar	1 tb dried mustard",,,,
lindas artichoke hot dip,"appetizers	dips",1 batch,"8 1/2 oz chopped artichoke hearts (not pickled etc.)	1 c  mayonnaise	3 oz cream cheese	3/4 c  parmesan cheese	1/4 ts dill	1/4 ts white pepper	1/4 ts garlic powder",,,,
liptons country-style baked beans,"vegetables	fruits/nuts",6 servings,"1    env. recipe soup mix; 	24 oz baked beans; in tomato sauce	1    apple; medium, chopped	1/4 c  brown sugar; packed	1 tb prepared mustard",,,,
lo cal orange freeze,"diabetic	desserts	snacks	kids",4 servings,"3 c  crushed ice	1/2 c  granulated sugar replacement	1 pk lo cal orange drink mix",,,,
london broil,"steak	beef	meats",6 servings,"2 lb flank steak	1 ea garlic clove, sliced	1 c  salad oil	1/2 c  vinegar	1 ts salt	1/4 ts pepper	2 ts dry mustard	2 ts worcestershire	1 ds cayenne	1 dr tabasco sauce",,,,
lone star steak sauce,sauces,4 servings,"1/2 c  butter	2 tb worcestershire sauce	3/4 ts black pepper	2 ea drops tabasco	1/2 c  lemon juice	1 ea sm. clove garlic, minced	1/2 ts dry mustard	1 x  salt to taste",,,,
lamb cannelloni walnut parmesan sauce,"pasta	meats",4 servings,"12    dry cannelloni shells	filling	1 tb olive oil	1/2    medium onion, diced	1 ts chopped garlic	1 tb fresh chopped rosemary or ry	1/2 lb lamb, cubed	2 tb chopped parsley or ry	salt and pepper to taste	1    egg	1/4 c  bread crumbs	(preferably seasoned)	sauce	2 tb butter	1 c  heavy cream	2 ts chopped parsley	2 tb parmesan cheese	2 ts finely chopped walnuts	(preferably toasted)",,,,
lamb cutlets nz,lamb,4 servings,"4    lamb cutlets	3/4 lb tomatoes	2    onions	1    clove garlic	1/2 c  dry white wine	2 oz butter",,,,
lamb pie ioannina style,"greek	meats	lamb",10 servings,"karen mintzias	2 tb butter or margarine	1 md onion; chopped	1 1/2 lb lean lamb (pref.leg), ground	1 ts ground cinnamon (or more)	salt & freshly ground pepper	1 c  tomato sauce or puree  diluted w/ water & warmed	1/2 c  chopped fresh parsley	5 sl toast (thin)	1 1/2 c  milk	3    eggs; lightly beaten	3/4 c  grated mizithra & kefalotyri	12    commercial filo sheets	6 tb butter; melted",,,,
leek frittata,"miamiherald	diary/eggs	holiday	jewish",6 servings,"10 lg leeks (white only); washed well and cut in 1"" pieces	4    eggs	3 tb bread crumbs	1/4 c  freshly grated parmesan cheese (opt)	salt and freshly ground pepper	1/4 c  olive oil",,,,
lemon butter mousse,desserts,12 servings,"1/3 c  fresh lemon juice; plus:	3 tb fresh lemon juice	1 ts finely grated lemon zest	1/4 oz unflavored gelatin	1 c  heavy cream	6    eggs; separated, room temp.	1/4 ts salt	3 c  sifted confectioners' sugar	1/4 lb unsalted butter; room temp.",,,,
lemon rice,"rice	side dishes",1 servings,"1 3/4 c  chicken broth; canned	1    cl garlic; slightly crushed	1 c  basmati rice; rinsed	1 tb lemon zest; finely grated	2 tb fresh dill; finely chopped -	1/2 ts dry dill	2 tb unsalted butter	pepper; to taste",,,,
lemon sauce for desserts,other sauce,3-1/2 cups of sauce.,"1 c  sugar	2 tb cornstarch	2 c  cold water	1/4 c  unsalted butter	1/4 c  fresh lemon juice	3 tb lemon peel -- grated",,,,
lemon spaghetti chicken,"pasta	poultry	low-fat",6 servings,"16 oz spaghetti or thin spaghetti or linguine, uncooked	4 tb margarine	16 oz boneless chicken breast (without skin), cut into bite-size pieces	28 oz low-sodium chicken broth	1 c  water	1 c  freshly squeezed lemon juice	2 tb honey	2 ts finely grated lemon peel	4 tb chopped fresh rosemary; or dried rosemary	salt	freshly ground black pepper",,,,
no fat fried chicken,none,4 servings,"4    chicken breast halves, skinned, boned and patted dry	3/4 c  buttermilk	3 tb parmesan cheese	1/2 c  dry bread crumbs	1/2 ts rosemary	1/2 ts thyme	1/4 ts garlic powder	1/4 ts onion powder	1/4 ts black pepper",,,,
no-bake cheesecake,"cheesecakes	no-bake	cakes	creamcheese",6 servings,"pie crust	1 pk cream cheese (8oz) softened	1/3 c  sugar	1 c  sour cream (1/2 pint)	2 ts vanilla	8 oz frozen whipped topping thaw	6    strawberries for garnish",,,,
nova scotia dressing,dressings,9 servings,"6 c  potato, cubed	1 1/2 c  bread crumbs	1/2 ts pepper	1/2 ts salt	2 ts poultry seasoning (to	taste) or age	1/2 c  melted margarine	1/2 c  onion, chopped (to taste)",,,,
nut loaf,"breads	osg",1 servings,"2 c  flour	1/2 c  sugar	1/2 c  nuts	2 ts salt	2 ts baking powder	1 ea egg",,,,
nutty chicken breast,poultry,8 servings,"1/4 c  peanut butter	2 tb chopped  peanuts	2 tb soy sauce	1 tb minced onions	1 tb minced parsley	1    clove garlic -- crushed	several drops of red pepper	sauce	1/8 ts ground ginger	4    whole chicken breasts --	skinned & boned	2 tb soy sauce	2 tb honey	1 tb melted butter	10 1/2 oz can chicken broth	1 tb cornstarch",,,,
oat bran pie crust,pies,1 pie crust,"1 c  am whole wheat pastry flour	1/2 c  am oat bran	1/2 ts sea salt (optional)	1/4 c  corn oil	3 tb ice cold water",,,,
oeufs mollets green sauce,"eggs	brunch	main dish",2 servings,"2    eggs; boiled for 4 minutes	75 g  peas, cooked	75 g  asparagus, cooked	25 g  sunflower margarine; melted	5 tb b?chamel sauce	a little single cream	salt and pepper	parsley sprigs to garnish",,,,
oil spill,"alcohol	mixed drink	beverages",1 servings,"2 cl vodka	2 cl blue curacao	2    bailey's irish cream",,,,
old fashioned lettuce salad,salads,4 servings,"1/2 c  light cream	1 ts granulated sugar	1/4 c  vinegar	1/4 ts salt	1 md head of iceberg or leaf lettuce	1/2 c  scallions; chopped",,,,
much too rich chocolate sorbet,"desserts	chocolate",3 servings,"1/2 c  sugar	1 1/4 c  droste cocoa	1/3 c  sherry (add more sugar if you only	have dry sherry in the house	:-), but it is best to use a	cream sherry)	2 c  water",,,,
mushroom-almond pate tdn,"appetizers	vegetables",4 servings,"2 tb almonds	1/2 c  mushrooms, sliced	2 ts unsalted butter	1/2 cl garlic, minced	1/8 ts dried thyme	1/8 ts salt	1/8 ts freshly ground black pepper	1/2 ts sherry	1 ts unsalted butter	1    green onion, thinly sliced	for garnish",,,,
myras jewish chopped liver,"poultry	appetizers	jewish",3 servings,"1 lb chicken livers	1/2 c  schmaltz or nyafat	1 lg onion, coarsely chopped	3    eggs, hard boiled and eeled	2 tb brandy	1/2 ts kosher salt	pepper to taste",,,,
mst va khir yogurt cucumbers,"persian	appetizer",3 servings,"1 1/2 c  yogurt	1 ea cucumber	1 tb fresh dill or ried dill weed	salt and pepper",,,,
nabisco nutter butter,"cookies	desserts	cakes",1 servings,"cookies	1/2 c  vegetable shortening	2/3 c  granulated sugar	1    egg	1/2 ts salt	3 tb peanut butter	1/2 c  old-fashioned quaker oats	1 c  all-purpose flour	filling	1/2 c  peanut butter	3/4 c  powdered sugar	1 tb fine graham cracker crumbs",,,,
nabisco oreo cookie,"cookies	desserts	cakes",1 servings,"cookie	1    box duncan hines dark dutch	fudge cake mix	1/3 c  water	2 tb shortening	filling	3 1/2 c  powdered sugar	1/2 tb granulated sugar	1/2 ts vanilla extract	1/2 c  shortening	3 tb hot water",,,,
nacho dip texas-style,"appetizers	snacks	sauces",32 servings,"1 lb ground beef	1 lb bulk, hot, pork sausage	2 lb velveeta cheese, cubed	10 1/2 oz cream of mushroom soup	10 1/2 oz diced tomatoes and  -	green chilies, diced	2 ts garlic powder	1 ts black pepper",,,,
new orleans bread pudding,"cajun/creol	desserts",12 servings,"1 lb bread -- stale	1 qt milk	4 lg eggs	1 c  sugar	2 tb vanilla extract	1 c  seedless raisins",,,,
new years paella,"seafood	spanish	fish",8 servings,"8 c  fish or chicken stock	1 tb saffron threads	3 tb olive oil	6    garlic cloves, chopped	2    onions, medium, chopped	1    red bell pepper, chopped	1    green bell pepper, chopped	8    chicken pieces, boned	8    chorizo sausages in chunks	8 oz squid, cut into rings	4 c  rice	4    tomatoes, peeled, in chunks	1    salt	1 c  green peas, shelled	1/2 c  black olives, sliced	1    parsley, chopped	1 1/2 lb rockfish, cut into chunks	2 lb mussels, rinsed, debearded	2 lb shrimps, large, peeled",,,,
broad bean soup,"soups	vegetables	british",4 servings,"120 g  onion; chopped	salt, ground pepper	60 g  butter	1/4 ts sugar	250 g  broad beans; shelled weight	60 ml thick cream	1/2 ts sage -==- or avory -==- or arsley; chopped	1 l  water	cro?tons",,,,
broccoli rice bake,vegetables,6 servings,"1/2    cup margarine	1/2 c  chopped onion	1 pk frozen broccoli or bunch of	fresh broccoli	1 cn cream of chicken soup	1 lb velveeta	1 1/2 c  cooked rice	1 pk ritz or townhouse crackers	2    cooked chicken breasts, hredded or cut into small	pieces",,,,
brown n serve sausage,meats,12 servings,"1 lb lean ground pork	1/4 c  cracker crumbs	1/4 c  water	1 ts sage	1 ts salt	1/2 ts thyme	1/2 ts oregano	1/4 ts freshly ground pepper	1 pn ground cloves",,,,
bulgar sweet lapsi,"indian	desserts",10 servings,"1 oz corn oil margarine	1 1/4 c  coarsely ground wheat (bulgar)	1 tb fennel seeds	1/4 c  golden raisins, seedless	2 1/4 c  nonfat milk	1/4 c  nonfat dry milk powder	1/2 c  sugar (reduce if preferred)	1 pn saffron	1/4 ts yellow food color	1/2 ts cardamoms, crushed	1/2 ts nutmeg, grated	2 tb almonds, finely sliced",,,,
buttermilk chive biscuits,,15 servings,"2 c  all-purpose flour	2 ts baking powder	1/2 ts baking soda	1/2 ts salt	1/2 c  chilled butter -- (1 stick)	cut into	sm pieces	3/4 c  buttermilk	2 tb chopped chives",,,,
oriental grilled steaks,"chinese	beef",4 servings,"4    top round steaks, 1-inch thick (3 lbs)	1/2 c  soy sauce	1/2 c  dry sherry	2 tb sugar	1/2 ts ground ginger	1/4 ts dry mustard	1/2 ts garlic powder",,,,
oriental steamed fish,"chinese	seafood",6 servings,"4    white fish steaks, about 3/4"" thick	1 tb slivered fresh ginger root	1/4 c  orange juice	2 tb soy sauce	1 1/2 ts distilled white vinegar	1/2 ts brown sugar	1 ts sesame oil	2    green onions and tops, minced",,,,
original green bean casserole,"vegetables	labels",6 servings,"1 cn condensed cream of mushroom soup	3/4 c  milk	1/8 ts pepper	16 oz frozen cut green beans, thawed and drained  or ut green beans, drained	1 cn french's french fried onions 2.8 oz can",,,,
oven-baked parmesan chicken,poultry,6 servings,"1 c  bread crumbs	1 c  grated parmesan cheese	2 tb fresh parsley -- chopped	2    garlic cloves -- chopped	salt -- to taste	black pepper -- to taste	3/4 c  margarine -- melted	chicken",,,,
oyster mussel milkbath,"appetizers	seafood",6,"12    oysters; drained 	12    mussels;  see note	3 tb sweet butter	1    onion; peeled and diced	5    peppercorns; freshly ground	1/2 ts salt	2 tb calvert's cedar street basil	1 c  clam juice	2 c  half and half	3 tb sherry",,,,
oyster patties ii,"main dish	shellfish	cajun",4 dozen oyster patties courtesy telephone pioneers,"1 sm bunch green onions,chop fine	2 tb parsley, finely chopped	1 sm onion, grated or fine chop	48    small patty shells	2 tb butter or oleo	1 cn cream mushroom soup	1 tb flour	1/4 ts lemon juice	black & red pepper as needed	48    oysters--cut in half if sm.>	diced if large.",,,,
paella new york times cook book,"seafood	spanish",8 servings,"1    one and a half pound lobster, cooked	1 lb shrimp	1    dozen or more small clams	1 qt mussels	1    one and a half pound chicken	1 ts oregano	2    peppercorns	1    clove garlic, peeled	1 1/2 ts salt	6 tb olive oil	1 ts vinegar	2 oz ham, cut in thin strips	1    chorizo (hot spanish sausage), sliced	1 oz salt pork, finely chopped	1    onion, peeled and chopped	1    green pepper, seeded and chopped	1/2 ts ground coriander	1 ts capers	3 tb tomato sauce	2 1/4 c  rice, washed and drained	4 c  boiling water	1 ts saffron	1 cn peas, drained	1 cn pimientos",,,,
